,Recipe_name,Recipe_ingredients,Recipe_instructions,Recipe_img_link
11,Buttered Tomatoes with Ginger ,"['4 scallions', '4 Tbsp. unsalted butter', '1 (1"") piece ginger, peeled, cut into matchsticks', '1½ pounds tomatoes (about 3 medium), cut into (1"") pieces', '2 Tbsp. plus 1½ tsp. white or regular soy sauce', 'Kosher salt (optional)', 'Toasted country-style bread or cooked rice or pasta (for serving)']","['Trim dark green tops from scallions and thinly slice; set aside for serving. Finely chop remaining white and pale green parts. Heat butter in a large skillet over medium. Add white and pale green parts of scallions and ginger and cook, stirring often, until fragrant, about 1 minute.', 'Add tomatoes and cook, turning gently with a spoon, until juicy and just warmed through, about 2 minutes. Add soy sauce and toss to combine. Taste and season with kosher salt if needed. Top with reserved scallion greens.', 'Spoon tomatoes over toast and sprinkle with more salt if desired.']",https://assets.epicurious.com/photos/5f456bf9834292ff425080a4/6:4/w_274%2Ch_169/buttered-tomatoes-with-ginger-recipe-BA-082520.jpg
12,Burst Cherry Tomato Pasta ,"['½ cup extra-virgin olive oil, plus more for drizzling', '6 garlic cloves, smashed', '2½ lb. cherry tomatoes (about 4 pints)', '2 large sprigs basil, plus 1 cup basil leaves, torn if large', '¾ tsp. crushed red pepper flakes', '1½ tsp. kosher salt, plus more', 'Pinch of sugar (optional)', '12 oz. casarecce or other medium-size pasta', '1 oz. Parmesan,  finely grated (about ½ cup), plus more for serving']","['Heat ½ cup oil in a large heavy pot over low. Add garlic and cook, stirring often with a wooden spoon, until softened but not browned, about 2 minutes.', 'Increase heat to medium and add tomatoes, basil sprigs, red pepper flakes, and 1½ tsp. salt. Cook, stirring to coat, until some of the tomatoes begin to burst and release their juices, about 4 minutes. Smash some but not all of the tomatoes with the spoon to help release their liquid, then continue to cook, stirring occasionally, until a chunky, thickened sauce forms (about half the tomatoes should still be intact), 10–12 minutes. Taste and add sugar if sauce is too tart and add more salt if needed. Pluck out and discard basil sprigs.', 'Meanwhile, cook pasta in a large pot of boiling salted water, stirring occasionally, until al dente.', 'Drain pasta, add to pot with sauce, and cook, stirring, until coated, about 1 minute. Remove from heat and stir in 1 oz. Parmesan.', 'Divide pasta among bowls; drizzle with oil. Top with more Parmesan and 1 cup basil leaves.']",https://assets.epicurious.com/photos/5f456a85834292ff425080a2/6:4/w_274%2Ch_169/pasta-with-burst-cherry-tomatoes-recipe-BA-082520.jpg
13,Salted PB&J Ice Cream Pie ,"['1 sleeve (110 g) Ritz crackers or other cracker of your choice', '⅓ cup (45 g) raw peanuts or other nut or seed, finely chopped', '⅓ cup (67 g; packed) light or dark brown sugar', '½ tsp. Diamond Crystal or ¼ tsp. Morton kosher salt', '6 Tbsp. unsalted butter, melted', '3 large eggs', '½ cup (100 g; packed) light or dark brown sugar', '½ tsp. Diamond Crystal or ¼ tsp. Morton kosher salt', '1 tsp. vanilla extract', '½ cup (128 g) natural peanut butter or other natural nut or seed butter', '1½ cups heavy cream', '⅓ cup (100 g) grape jelly (preferably Bonne Maman) or other jelly, jam, or compote']","['Preheat oven to 275°F. Place crackers in a deep pie dish (a shallower one will work but you may have some filling left over) and gently crush with your hands until you have a mix of dime-size pieces, small crumbs, and everything in between. Add peanuts, brown sugar, and salt and toss to combine. Drizzle in butter and toss to evenly coat. Using your hands and the bottom of a measuring cup, press firmly and evenly into bottom and up sides of dish. (Mixture will look and feel crumbly, but it will hold together when baked.) Bake crust until a shade darker, 20–25 minutes. Let cool.', 'Do Ahead: Crust can be baked 3 days ahead. Store tightly wrapped at room temperature, or freeze up to 1 month.', 'Pour water into a medium saucepan to come 1½"" up the sides and bring to a bare simmer over medium-low heat. Whisk eggs, brown sugar, and salt in a large heatproof bowl just to combine (or use the bowl of a stand mixer if you’ve got one). Set over saucepan (bowl should not touch water) and heat egg mixture, stirring constantly with a heatproof rubber spatula, until sugar dissolves, about 4 minutes (mixture will no longer feel gritty when rubbed between your fingers). If you are concerned about undercooked eggs, heat mixture longer, still stirring constantly, until an instant-read thermometer registers 165°F, about 3 minutes more. Remove bowl from heat and add vanilla to egg mixture. Using an electric mixer, beat on high speed until thick and pale and doubled in volume, about 10 minutes. (Or, if using a stand mixer, beat with the whisk attachment, 6–8 minutes.)', 'Using spatula, mix peanut butter in another large bowl to loosen up and smooth out. Stir one third of egg mixture into peanut butter to lighten, then gently fold in half of remaining egg mixture, running spatula down sides and along bottom of bowl, then lifting up through center and over top while rotating bowl, until just combined. Repeat with remaining egg mixture (it will lose a lot of volume, and that’s okay).', 'Starting on low speed and gradually increasing to medium-high, beat cream in the same bowl you used for egg mixture (no need to wash) until soft peaks form, about 2 minutes. Gently fold into peanut butter mixture and scrape into crust. Dollop jelly all over; swirl with a butter knife. (For more defined swirls, freeze pie 30 minutes before adding jelly.) Freeze at least 8 hours before serving.', 'To slice, run a chef’s knife under hot water to warm up the blade, then wipe to clean and dry between slices. Use an offset spatula or fork to loosen slices from dish. If pie is frozen very hard, you may need to let it temper in the fridge 30 minutes before serving.', 'Do Ahead: Pie can be made 2 weeks ahead. Wrap tightly and freeze.']",https://assets.epicurious.com/photos/5f3fca40ff169fe5c93c6ae0/6:4/w_274%2Ch_169/salted-pb%26j-ice-cream-pie-recipe-BA-082120.jpg
14,Farmers Market Farro Bowls ,"['1 cup semi-pearled farro', '1 tsp. kosher salt, plus more', '4 large eggs', '1 large watermelon radish or 6–8 red radishes, trimmed, thinly sliced on a mandoline if you’ve got one', '¼ cup unseasoned rice vinegar', '2 Tbsp. sugar, divided', '1 (14-oz.) block extra-firm tofu, drained', '3 Tbsp. plus ¼ cup grapeseed or vegetable oil, divided', '2 Tbsp. fresh lime juice', '2 Tbsp. gochujang (Korean hot pepper paste)', '1 Tbsp. mayonnaise', '1 Tbsp. plus 1 tsp. soy sauce', '1 Tbsp. plus 1 tsp. toasted sesame oil', '1 medium zucchini or summer squash, halved lengthwise, cut crosswise into (¼""-thick) half-moons', '2–3 cups thinly sliced or shredded raw vegetables (such as carrots, scallions, blanched sugar snap peas, baby bok choy, cucumbers, pea shoots, or alfalfa sprouts)']","['Pour farro into a medium saucepan of boiling salted water, reduce heat, and simmer, stirring occasionally, until tender, 25–30 minutes. Drain farro and spread out on a rimmed baking sheet; let cool.', 'Meanwhile, using a slotted spoon, carefully lower eggs into a small saucepan of boiling water and cook 6½ minutes for an oozy, jammy yolk or 7 minutes for a slightly firmer middle. Transfer eggs to a bowl of ice water with slotted spoon and let sit until cool enough to handle, about 2 minutes. Remove eggs from ice water; peel and slice in half lengthwise.', 'Pack radish slices into a pint jar. Whisk vinegar, 1 Tbsp. sugar, 1 tsp. salt, and ½ cup hot water in a small bowl until sugar and salt are dissolved. Pour brine over radish slices; let cool. Cover and chill at least 1 hour before using.', 'Cut tofu crosswise into ½""-thick slabs, then cut each slab on a diagonal to create 2 triangles. Pat dry with a clean kitchen towel. Heat 2 Tbsp. grapeseed oil in a large nonstick skillet over medium-high. Add tofu in a single layer, season with salt, and cook, undisturbed, until golden brown underneath, about 4 minutes. Turn over and cook until golden brown on second side, about 4 minutes. Transfer tofu to a plate; reserve skillet (no need to wipe out).', 'Whisk lime juice, gochujang, mayonnaise, ¼ cup grapeseed oil, 1 Tbsp. soy sauce, 1 Tbsp. sesame oil, and remaining 1 Tbsp. sugar in a small bowl. Taste; season with salt if desired.', 'Heat remaining 1 Tbsp. grapeseed oil in reserved skillet over medium-high. Add zucchini, season with salt, and cook, tossing just once or twice, until tender and blistered in spots, about 4 minutes. Add remaining 1 tsp. soy sauce and 1 tsp. sesame oil and toss to coat. Transfer to a plate.', 'To serve, divide farro among bowls. Arrange eggs, drained pickled radish, tofu, zucchini, and raw vegetables of choice on top as desired. Drizzle each bowl with a few spoonfuls of dressing to your liking.']",https://assets.epicurious.com/photos/5f3fdcf074f225d42338f9ff/6:4/w_274%2Ch_169/farmers-market-farro-bowls-recipe-BA-082120.jpg
15,Fancy and Beautiful Tomato Salad ,"['1½ lb. heirloom tomatoes (about 3 medium), sliced into 8–12 wedges, depending on size', '12 oz. mixed cherry tomatoes (about 2 cups), halved, quartered if large', '1¾ tsp. kosher salt, divided, plus more', '1 lemon', '½ garlic clove', '6 Tbsp. extra-virgin olive oil', '2 Tbsp. za’atar', '2 cups pita chips', '1½ tsp. (or more) honey', '3.5 oz. feta, thinly sliced into planks', '½ cup basil leaves, torn if large', '½ cup mint leaves, torn if large']","['Gently toss heirloom and cherry tomatoes and 1¼ tsp. salt in a medium bowl to combine and set aside.', 'Finely grate lemon zest into a small bowl, then grate in garlic; set lemon aside.', ""Heat oil in a small saucepan or skillet over medium until just starting to shimmer. Add za’atar and cook, stirring occasionally, until fragrant and slightly darkened in color, about 1 minute. Add lemon zest and garlic, cook 10 seconds, then remove from heat. (You're looking to cook off the raw flavor of the garlic without losing the brightness of the lemon.) Transfer za’atar oil to a heatproof measuring cup."", 'Place pita chips in a large bowl and drizzle 2 Tbsp. za’atar oil over; season with salt. Mix well with a rubber spatula, aiming to coat chips without breaking them into too many pieces.', ""Cut reserved lemon in half and squeeze juice from 1 lemon half into a small bowl. Stir in honey and remaining ½ tsp. salt. Gradually add remaining za'atar oil, stirring constantly until emulsified. Taste dressing and add more lemon juice, honey, or salt if needed."", 'Add feta, basil, mint, and reserved tomatoes to bowl with chips and drizzle dressing over; toss gently to combine.', 'Spoon salad onto platter, making sure to leave no juices behind. Eat fast for crunchy chips or let sit for a crispy-gone-soggy experience.']",https://assets.epicurious.com/photos/5f3ede027b7a251be6a48659/6:4/w_274%2Ch_169/fancy-and-beautiful-tomato-salad-recipe-BA-082020.jpg
16,Chicken Thighs With Tomatoes and Feta ,"['6 skin-on, bone-in chicken thighs (about 2¼ lb. total)', '½ tsp. kosher salt, plus more', '1¼ lb. cherry tomatoes (about 2 pints)', '¼ cup harissa paste', '3 Tbsp. red wine vinegar', '3 sprigs oregano, divided', '4 oz. feta, cut into (¼""-thick) planks', 'Crusty bread (for serving)']","['Pat chicken thighs dry with paper towels; season all over with salt. Arrange skin side down in a cold large cast-iron skillet. Set over medium heat and cook chicken, undisturbed, rotating pan as needed for even browning, until skin is very deep golden brown and crisp and chicken releases easily from pan, 13–16 minutes. Using tongs, transfer chicken to a plate, arranging skin side up.', 'Combine tomatoes, harissa paste, vinegar, 1 oregano sprig, and ½ tsp. salt in same skillet. Increase heat to medium-high and cook, stirring occasionally, until tomatoes burst and their juices start to thicken, 8–10 minutes.', 'Nestle chicken thighs into tomatoes, skin side up. Reduce heat to medium-low, bring to a simmer, and cook until chicken is just cooked through and flesh is no longer pink (an instant-read thermometer inserted into the thickest part near the bone will register 165°F), and tomato sauce is thickened so that a wooden spoon dragged through it leaves a trail, 6–8 minutes. Remove from heat and let sit 5 minutes.', ""Break feta into large pieces; scatter over chicken. Some pieces will stay intact while others will soften into the sauce a little—and that's exactly what you want. Pick leaves off remaining 2 oregano sprigs and scatter on top."", 'Serve with bread for sopping up any extra tomato sauce.']",https://assets.epicurious.com/photos/5f3d501874f225d42338f9f9/6:4/w_274%2Ch_169/chicken-thighs-with-tomatoes-and-feta-recipe-BA-081920.jpg
17,Corn and Chickpea Bowls With Miso Tahini ,"['2 small jalapeños, seeded, chopped', '1 (¾-inch) piece ginger, peeled, finely grated', '2 small garlic cloves, finely grated', '1 cup (packed) cilantro leaves with tender stems', '⅓ cup fresh lime juice', '⅓ cup tahini', '1 Tbsp. plus 1½ tsp. miso', 'Kosher salt', '3 Tbsp. extra-virgin olive oil, divided, plus more for drizzling', '2 garlic cloves, lightly crushed', '1 (14-oz.) can chickpeas rinsed, drained', '3 ears of corn, shucked, kernels removed', '1 Tbsp. spice blend (such as za’atar, vadouvan, hawaij, or berbere)', 'Kosher salt', '4 cups tender greens (such as Little Gem lettuce and/or watercress), torn if large', '2 avocados, cut into wedges', '4 small tomatoes, cut into wedges', 'Crumbled feta, cilantro sprigs, and lime wedges (for serving)']","['Purée jalapeños, ginger, garlic, cilantro, lime juice, tahini, miso, and 3 Tbsp. water in a blender until smooth. Season with salt.', 'Do Ahead: Dressing can be made 1 day ahead. Transfer to an airtight container and chill.', 'Heat 2 Tbsp. oil in a large skillet over medium. Add garlic and cook, turning occasionally, until golden brown, about 4 minutes. Mash garlic with a spoon and stir into oil. Add chickpeas and increase heat to medium-high. Cook, undisturbed, until golden brown and beginning to crisp underneath, about 3 minutes. Toss and continue to cook, tossing occasionally, until golden brown all over, about 2 minutes more. Add corn and 1 Tbsp. oil and cook, tossing, until corn kernels are golden around the edges and tender, 5–7 minutes. Sprinkle spice blend over and toss to coat. Season with salt.', 'Combine lettuce, avocados, and tomatoes in a large bowl. Drizzle lightly with oil and toss to combine. Season with salt.', 'Divide dressing among bowls and top with salad and chickpea mixture, then feta and some cilantro. Serve with lime wedges for squeezing over.']",https://assets.epicurious.com/photos/5f3afd0a15fb41021b8be783/6:4/w_274%2Ch_169/corn-and-chickpea-bowls-with-miso-tahini-recipe-BA-081720.jpg
18,Stone Fruit Custard Tart ,"['½ cup (1 stick) unsalted butter', '½ cup (65 g) raw pistachios, divided', '1 large egg', '¼ cup (packed; 50 g) light brown sugar', '2 cups (250 g) all-purpose flour', '1 tsp. kosher salt', '¾ tsp. baking powder', '3 large eggs', '⅔ cup (packed; 133 g) light brown sugar', '¼ cup sour cream', '1 Tbsp. vanilla bean paste or vanilla extract', '1 tsp. ground cardamom', '¾ tsp. ground ginger', '¾ tsp.(packed) finely grated orange zest', '¾ tsp. kosher salt', '3 Tbsp (23 g) all-purpose flour', '2½–3 lb. stone fruit (such as peaches, nectarines, apricots, and plums; all about the same size), cut into sixths or eighths, depending on their size', '1 Tbsp. coarse sugar', 'Powdered sugar, whipped cream, or crème fraîche (for serving; optional)', 'A 9""-diameter springform pan']","['Preheat an oven to 375°F. Cook butter in a small saucepan over medium heat, stirring often, until it foams, then browns, 5–8 minutes. Set aside.', 'Pulse pistachios in a food processor until finely ground. Transfer 4 Tbsp. to a small bowl; set aside.', 'Scrape reserved browned butter over pistachios in food processor; add egg, brown sugar, flour, salt, and baking powder. Pulse until incorporated, then process, scraping down sides as needed, until mixture looks like wet sand and holds together when squeezed in your hand, about 2 minutes.', 'Press dough evenly into bottom and about 2"" up sides of pan with a straight-sided glass or measuring cup. Chill while you make the filling.', 'Process eggs and brown sugar in clean food processor until eggs are well combined, about 1 minute. Scrape down sides; add sour cream, vanilla bean paste, cardamom, ginger, orange zest, and salt. Sprinkle flour and 2 Tbsp. reserved pistachios over; process until smooth, about 1 minute.', 'Starting at the edges of the chilled tart shell and working inward, arrange stone fruit in snug concentric circles, standing each wedge up so one tip is raised and rounded skin side is pressed against crust. Carefully pour custard around fruit (fruit should not be completely covered). Sprinkle coarse sugar over.', 'Bake pie until crust is golden brown and filling is puffed and set in the center (it shouldn’t wobble when gently shaken), 70–75 minutes. Transfer pan to a wire rack and scatter remaining reserved 2 Tbsp. pistachios over. Let cool, then chill, uncovered, until fully set.', 'Unmold tart. Dust with powdered sugar and/or top with dollops of whipped cream or crème fraîche if desired. Serve chilled or room temperature.']",https://assets.epicurious.com/photos/5f3c2599dced22f99fab1405/6:4/w_274%2Ch_169/StoneFruitCustardTart_1_HERO_RECIPE_VOG_final.jpg
19,Plátanos Horneados con Crema y Queso (Baked Banana With Crema and Cheese) ,"['6 heirloom bananas or small plantains, ripe but not black, unpeeled', '1 cup (230 g) crema or crème fraîche', '1 cup (120 g) crumbled queso fresco']","['Preheat the oven to 400°F.', 'Place the whole bananas or plantains on a baking sheet and bake, turning them every 10 minutes, until the peel starts to split and the inside is tender when tested with a skewer, about 40 minutes. Remove from the oven but keep on the baking sheet. Carefully slice the peel lengthwise to just reveal the flesh and drizzle with some crema and sprinkle with cheese. Transfer to plates to serve individually, on a platter, or directly on the baking sheet on the table. Either way, people should carve out their own banana. Serve the remaining crema and cheese in bowls on the side, in case anyone wants more.']",https://assets.epicurious.com/photos/5ee8f7248793dbbcae05e218/6:4/w_274%2Ch_169/PlantainWithCream_HERO_RECIPE_060320_8522.jpg
20,Tamale Pie with Fresh Tomato and Corn ,"['1/2 pound fresh chorizo, casings removed (about 2 links), or vegetarian substitute such as Lightlife Plant-Based Italian Sausage', '1/2 pound ground beef, or vegetarian substitute such as\xa0 Lightlife Plant-Based Ground', '1 tablespoon tomato paste', '2 1/2 teaspoons cumin', '1 large onion, grated on a box grater, divided', '1–2 medium jalapeños, thinly sliced, seeded if desired, divided', '1 3/4 teaspoons kosher salt, divided', '2 large beefsteak tomatoes (about 2 pounds), cut into 1/2"" cubes', '2 cups corn kernels (preferably fresh; from about 3 ears of corn), divided', '8 ounces cheddar cheese, grated (about 2 cups)', '2 large eggs', '6 tablespoons unsalted butter, melted', '1/3 cup sour cream, plus more for serving', '1 1/4 cups cornmeal', '1 teaspoon baking powder']","['Preheat oven to 450°F. Heat an 8"" cast-iron skillet over high. Pat chorizo and beef dry with paper towels, then press into an even layer in bottom of hot skillet with a spatula. Cook, undisturbed, until a brown crust begins to form on the bottom, about 6 minutes. Turn, break into pieces, and continue to cook until cooked through, about 4 minutes. Add tomato paste, cumin, half of grated onion, half of jalapeño, and 1 1/4 tsp. salt and cook, stirring constantly, until fragrant and well combined, about 1 minute. Remove from heat and stir in tomatoes, 1 1/2 cups corn, and 1 1/2 cups cheese.', 'Whisk eggs, butter, 1/3 cup sour cream, and remaining onion in a medium bowl. Whisk cornmeal, baking powder, and remaining 1/2 tsp. salt in a small bowl. Add dry ingredients to butter mixture and stir to combine, then stir in 1/4 cup cheese and remaining 1/2 cup corn.', 'Dollop cornbread batter over meat mixture, then smooth into an even layer. Top with remaining jalapeños and 1/4 cup cheese.', 'Bake cornbread until golden brown, 15–18 minutes. Serve with sour cream alongside.']",https://assets.epicurious.com/photos/59b6e97bd18aa146dbedf18c/6:4/w_274%2Ch_169/Fresh-Tomato-Tamale-Cornbread-Pie-hero-06092017.jpg
21,Charred-Peach Panzanella With Pickled Pepper Vinaigrette ,"['2 garlic cloves, finely grated', '½ cup sliced hot pickled peppers (such as banana peppers), plus 1 Tbsp. pickle brine', '1 Tbsp. stone-ground or whole grain mustard', '1½ tsp. kosher salt', '1½ lb. plum tomatoes (6–7 medium), sliced ½"" thick', '8 oz. thick-cut bacon (about 6 slices), cut into 1½"" pieces', '1 (10–12-oz.) loaf crusty multigrain bread, sliced ¾"" thick', '3 large slightly firm peaches (about 1¼ lb.), preferably freestone, halved, pitted']","['Whisk garlic, pickle brine, mustard, and salt in a large bowl to combine. Add tomatoes and pickled peppers and gently toss to combine. Let sit, tossing occasionally, while you cook the bacon, bread, and peaches.', 'Arrange bacon in a cold large cast-iron skillet and set over medium heat. Cook, stirring occasionally, until mostly crisp (there can still be a few soft, chewy spots if you’re into that sort of thing), about 10 minutes. Transfer bacon to paper towels to drain. Pour bacon fat into a small bowl; set aside. Wipe out skillet.', 'Heat 2 Tbsp. reserved bacon fat in same skillet. Working in batches and adding more bacon fat as needed, toast bread until golden (a few char marks are fine), about 2 minutes per side. Transfer to paper towels to drain. Wipe out skillet.', 'Heat another 1 Tbsp. bacon fat (if you’ve run out, use vegetable or olive oil) in same skillet and cook peach halves, cut side down, until lightly charred, about 3 minutes. Transfer to a cutting board; let sit until cool enough to handle. Slice each half in half again or into thirds and add to bowl with tomatoes. Tear toasted bread into 1""–1½"" pieces and add to bowl. Add bacon and toss gently to combine and saturate bread with juices collected in bowl.', 'Transfer panzanella to a platter or individual bowls to serve.']",https://assets.epicurious.com/photos/5f3c19c210f07afdd8da5da2/6:4/w_274%2Ch_169/PeachBaconPanzanella_HERO_RECIPE_081220_10724_V1_final.jpg
