,Recipe_name,Recipe_ingredients,Recipe_instructions,Recipe_img_link
22,Stuffed Eggplants and Zucchini in a Rich Tomato Sauce (Baatingan w Kusaa Bil Banadoura) ,"['2½ tbsp olive oil', '2 onions, finely diced (2½ cups/350g)', '4 cups/1kg tomato puree', '12¼ oz/350g ripe tomatoes (2 large), coarsely grated', '3¼ cups/750ml chicken stock or water', '1 tbsp sugar', 'Salt and black pepper', '¾ cup plus 2 tbsp/175g Egyptian rice or arborio rice (see note below)', '9 oz/250g ground lamb', '¼ cup/60ml olive oil', '½ tsp ground cinnamon', '¾ tsp ground allspice', '½ tsp ground cumin', 'About 3 green onions, finely sliced (⅓ cup/35g)', '¾ cup/15g mint leaves, roughly chopped', '¾ cup/15g parsley leaves, roughly chopped', '1 cup/20g dill, roughly chopped', '1 red chile, seeded and finely diced (1 tbsp/10g)', '1 lemon: finely grate the zest to get 1 tsp', '3 tbsp water', '1½ lb/700g eggplants (between 3 and 6, depending on size)', '1½ lb/700g zucchini (between 3 and 6, depending on size)', '7 tbsp/100ml olive oil', '6 garlic cloves, finely chopped', '1 tbsp coriander seeds, lightly crushed in a mortar and pestle', '1 red chile, seeded and finely diced (1 tbsp/10g)', '¼ cup/5g parsley leaves, roughly chopped', '¼ cup/5g mint leaves, roughly torn', '¼ cup/5g dill leaves', '1 green onion, thinly sliced (2 tbsp/10g)', '1 cup/250g Greek yogurt']","['To make the sauce, put the oil into a saucepan or casserole pan with a lid—about 10 inches/25cm wide—and place over medium heat. Add the onions and cook for about 10 minutes, stirring frequently, until soft and caramelized. Add the rest of the sauce ingredients, along with 2½ tsp of salt and a good grind of black pepper. Simmer over medium heat for about 10 minutes, stirring from time to time, then remove from the heat and set aside.', 'To make the stuffing, while the sauce is cooking, place all the ingredients in a large bowl with 1½ tsp of salt and a good grind of black pepper. Mix well, using your hands to make sure that everything is well incorporated. If making in advance, keep in the fridge until ready to use.', 'Trim the stalks from the eggplants, then insert a manakra (or peeler or corer) into the eggplant; you want it to be very close to the skin—about\xa0⅛ inch/3mm away—but not so close that it tears and won’t hold its shape when it’s stuffed. Scoop out the flesh to create a generous cavity. You don’t need the flesh anymore, but keep it for another recipe; it can be cut into cubes and steamed or added to your next omelette. If your eggplants are particularly large, slice them in half, crosswise, and scoop out the flesh using a regular small serrated knife—be sure to keep one end of each half intact, so that the stuffing does not fall out!', 'Use the manakra or a swivel peeler to scoop out the zucchini flesh. Keep about\xa0⅛ inch/3mm of flesh attached to the skin inside the zucchini and about ½ inch/1cm from the end intact—they need to be robust enough to keep the stuffing inside. Again, keep the scooped-out flesh to use elsewhere.', 'Using your hands, so that you can push in a bit of stuffing at a time, fill all the eggplant and zucchini cavities. Stop filling them about ½ inch/1cm from the top of each vegetable; the stuffing needs some space to expand inside the vegetables when they are cooking.', 'Gently lower the stuffed vegetables into the sauce. They won’t fit in a single layer, but try to avoid too much overlap and submerge them in the sauce as much as you can. Return the sauce to medium heat and, once simmering, decrease the heat to low. Cover the pan and simmer very gently for 90 minutes, or until the rice is completely cooked through and soft—test if it is ready by sticking a knife into the middle of one of the vegetables; it should go in very easily. Don’t worry if some of the rice/stuffing spills into the tomato sauce, this can happen and it will be fine when served.', 'To make the adha, meanwhile, put the oil into a small frying pan and place over medium heat. After about 1 minute, add the garlic and decrease the heat to medium-low. Cook for about 5 minutes, stirring very often, until the garlic is golden and crispy. Keep a close eye on the pan here; you don’t want the oil to get too hot and for the garlic to burn. Reserving the oil as you pour, strain the garlic through a sieve. Set the garlic aside—it will crisp up as it cools down—and return the oil to the pan. Add the coriander seeds and chile and cook for about 1 minute, stirring a few times, until fragrant. Remove from the heat, transfer to a separate bowl, and set aside until needed.', 'When the vegetables are cooked and the sauce is thick and rich (but still pourable), use a slotted spoon to carefully lift the vegetables out of the pan. Pour the sauce onto a large serving platter (or individual serving plates) with a rim and top with the stuffed vegetables. Spoon on the adha—the coriander-chile oil first, followed by the fried garlic—then sprinkle with the fresh herbs and green onion. Serve warm or at room temperature, with the yogurt spooned alongside.']",https://assets.epicurious.com/photos/5f3ae89315fb41021b8be77f/6:4/w_274%2Ch_169/FalastinStuffedEggplant_RECIPE_081220_10670_VOG_final.jpg
23,"Chicken Meatballs With Molokhieh, Garlic, and Cilantro ","['1¾ oz/50g crustless sourdough bread, finely blitzed into crumbs, or 1 large zucchini (½ lb/220g), coarsely grated', '1 lb 2 oz/500g ground chicken or turkey thighs', '2 garlic cloves, crushed', '1½ tsp ground cumin', '1 tsp ground cinnamon', '½ tsp ground allspice', '¼ tsp chile flakes', '½ cup/10g cilantro leaves, roughly chopped', '½ cup/10g parsley leaves, roughly chopped', '½ cup/10g mint leaves, roughly chopped', '1 lemon: grate finely to get 1½ tsp zest, then cut into wedges', 'Salt and black pepper', '2 tbsp olive oil', '2 garlic cloves, crushed', '1 lemon: shave the rind to get 4 strips, then juice to get 1½ tbsp', '1¾ cups/450ml chicken stock', '1¾ lb/800g frozen molokhieh (or 1¾ lb/800g frozen chopped spinach plus 7 oz/200g okra, thinly sliced—see note below)', '½ tsp ground cinnamon', 'Salt and black pepper', '½ cup/10g parsley leaves, roughly chopped', '1 cup/20g cilantro leaves, roughly chopped', '¼ cup olive oil', '6 garlic cloves, crushed', '½ tsp chile flakes', '½ cup cilantro, roughly chopped']","['To make the meatballs, place the breadcrumbs in a small bowl and cover with water. Stir, then drain through a colander, squeezing out most of the moisture from the bread. (If using grated zucchini, toss it with ½ tsp of salt and place in a sieve set over a bowl. Let to sit for 20 minutes, then use your hands to squeeze out as much liquid as possible.)', 'Transfer the crumbs to a large bowl with the chicken, garlic, spices, herbs, lemon zest, ¾ tsp salt, and plenty of black pepper. Using well-oiled hands, shape into about 30 small balls; roughly a scant 1 oz/25g each.', 'Put 1 tbsp of oil into a large nonstick sauté pan with a lid, and place over high heat. Once hot, add half the meatballs and cook for 2–3 minutes, turning throughout, until golden brown all over. Transfer the meatballs to a baking sheet and set aside. Keep the pan on the heat and continue with the remaining 1 tbsp of oil and remaining meatballs in the same way.', 'Return the same pan to medium-high heat. Add the 2 garlic cloves, lemon rind, and stock and bring to a boil—this should take about 3 minutes. Add the molokhieh (or the spinach and okra combination), cinnamon, 2 tsp of salt, and plenty of black pepper, then decrease the heat to medium and cook, covered, for about 20 minutes, or until the molokhieh is bubbling and completely defrosted. Add the meatballs, parsley, and ½ cup/10g of cilantro and cook, covered, for another 10 minutes, or until completely cooked through. Stir in the lemon juice.', 'To make the adha, meanwhile, put the olive oil into a small frying pan over medium-high heat. Add the garlic and cook for about 3 minutes, stirring occasionally, or until golden and crispy. Add the chile flakes, then remove from the heat and pour into a bowl. Stir in the cilantro and set aside.', 'Divide the soup among four bowls and top with the fried garlic and remaining ½ cup/10g cilantro. Serve at once, with lemon wedges alongside.']",https://assets.epicurious.com/photos/5f3ae8af5bfc53f0dae80547/6:4/w_274%2Ch_169/ChickenMeatballsMolokhieh_RECIPE_081220_10690_VOG_final.jpg
24,Instant Pot Bisibelabath ,"['2 Tbsp. (30 mL) vegetable oil, divided', '2 Tbsp. (30 mL) unsweetened coconut ﬂakes', '1 ½ Tbsp. (22 mL) coriander seeds', '1 ½ Tbsp. (22 mL) dried chana dal', '5 black peppercorns', 'Pinch fenugreek seeds', '1 (2-inch or 5-cm) cinnamon stick', '3 whole cloves', 'Pinch asafoetida (optional)', '1 dried red chile, crushed', '1 onion, chopped', '1 Tbsp. (15 mL) kosher salt', '2 green chiles, minced', '2 tsp. (10 mL) ground turmeric', '1 tsp. (5 mL) yellow mustard seeds', '1 cup (250 mL) white basmati rice, rinsed', '1 cup (250 mL) dried lentils (toor or masoor dal)', '2 cups (500 mL) chopped trimmed acorn or butternut squash', ""2 cups (500 mL) chopped mustard greens (see Cooks' Note)"", '2 cups (500 mL) no-added-salt vegetable broth or water', 'Special Equipment: Coﬀee/spice grinder']","['Using the Sauté function on High, heat 1 teaspoon (5 mL) oil in the inner pot for 1 minute, until shimmering. Add the coconut, coriander seeds, chana dal, peppercorns, fenugreek seeds, cinnamon stick, cloves, asafoetida (if using) and dried chile; cook for about 2 minutes, until fragrant. Transfer the mixture to a clean coﬀee/spice grinder and grind to a powder.', 'Using the Sauté function on High, heat the remaining 5 teaspoons (25 mL) oil in the inner pot for 1 minute, until shimmering. Add the onion, salt, green chiles, turmeric and mustard seeds; cook for about 2 minutes, until the mustard seeds begin to pop. Add the rice, lentils, squash, and mustard greens; stir to combine. Stir in the toasted spices, then the broth. Secure the lid and cook on high pressure for 3 minutes.', 'Once the cooking is complete, let the pressure release naturally for 10 minutes, then quick-release the remaining pressure.', 'Remove the lid and stir. Transfer to a bowl; serve.', 'If you can’t find mustard greens, use turnip greens, kale or any other sturdy greens.']",https://assets.epicurious.com/photos/5f3aa86c737f2a0920b743cd/6:4/w_274%2Ch_169/INDIANINSTANTPOT_47.jpg
25,Tahini-Walnut Magic Shell ,"['¼ cup raw walnuts', '3 oz. white chocolate, chopped', '⅓ cup refined coconut oil', '¼ cup tahini', '2 tsp. vanilla bean paste or vanilla extract', 'Pinch of kosher salt']","['Preheat oven to 350°F. Spread out walnuts on a small rimmed baking sheet; toast, tossing halfway through, until golden brown, 8–10 minutes. Let cool.', 'Meanwhile, microwave white chocolate, oil, and tahini in a small microwave-proof bowl on low heat in 15 second bursts, stirring after each burst, until melted and combined.', 'Process walnuts in a food processor until a paste forms. Scrape down sides of bowl and add vanilla bean paste and salt and pulse to combine. With motor running, gradually pour in white chocolate mixture and process until smooth. Use immediately.']",https://assets.epicurious.com/photos/5f2323fbbc61b492b95dd927/6:4/w_274%2Ch_169/TahiniMagicShell_RECIPE_072220_9798_VOG_final.jpg
26,Django Reinhardt ,"['3 oz. dry white vermouth', '¾ oz. fresh lemon juice', '¾ oz. simple syrup (see note)', '3 orange slices']","['Combine the vermouth, lemon juice, simple syrup, and 2 of the orange slices in a cocktail shaker and muddle to break down the orange. Add ice cubes to fill the shaker three-quarters full, cover, and shake to chill, about 15 seconds.', 'Fill a rocks glass with ice cubes and strain the\xa0cocktail over the ice. Garnish with the remaining orange slice.']",https://assets.epicurious.com/photos/5f33f7f6f04cf2fc921557ea/6:4/w_274%2Ch_169/Django-Reinhart-cocktail-Nicole-Franzen.jpg
27,Rosé All Day ,"['2 strawberries, hulled', '4 oz. rosé wine, chilled', '1 oz. Aperol', '½ oz. fresh lemon juice', 'Soda water, chilled']","['Muddle the strawberries in a mixing glass or cocktail shaker. Add the rosé, Aperol, and lemon juice, and stir to incorporate. Pour into a wineglass, add a handful of ice cubes, and top with a splash of soda water.']",https://assets.epicurious.com/photos/5f33faab143356588c2f0e9c/6:4/w_274%2Ch_169/Rose%20All%20Day.jpg
28,Lentil Burgers ,"['1 cup French green or brown lentils', '½ cup whole-milk Greek yogurt', '¼ tsp. finely grated lemon zest', '1 Tbsp. fresh lemon juice', '2 garlic cloves, finely grated, divided', 'Kosher salt', '6 oz. crimini mushrooms, stems trimmed, finely chopped', '2 Tbsp. white miso', '¼ tsp. smoked paprika', '4 Tbsp. (or more) extra-virgin olive oil, divided', '¼ cup (or more) oat flour, gluten-free 1:1 blend, or all-purpose flour', 'Whole wheat or gluten-free buns, sprouts and/or lettuce, and pickle slices (for serving)']","['Place lentils in a large saucepan and pour in water to cover by 4"". Bring to a boil, reduce heat to medium, and simmer, stirring occasionally, until lentils are tender but not mushy, about 10 minutes from the time the water reaches a boil. Drain well, then let cool at least 10 minutes.', 'Meanwhile, mix together yogurt, lemon zest, lemon juice, and half of garlic in a small bowl. Season with salt.', 'Mash mushrooms, miso, paprika, 2 Tbsp. oil, and remaining garlic in a medium bowl with a spoon to combine. Add lentils and mix and smash until partly mashed but with lots of whole lentils still remaining. Add flour and vigorously stir until mixture holds together when squeezed in your hand; if it doesn’t, continue to mash until it does, adding another 1–2 Tbsp. flour if needed. Form into 6 patties about ¾"" thick.', 'Heat 1 Tbsp. oil in a large nonstick skillet (patties will stick to a regular skillet) over medium. Cook 3 patties until deeply browned and crisp underneath, about 3 minutes. Carefully turn over; cook, adding more oil as needed to maintain a light coating around patties, until deeply browned and crisp on the other side, about 3 minutes. Transfer to a plate. Repeat with remaining patties and 1 Tbsp. oil.', 'Spread cut side of buns with reserved yogurt mixture. Build burgers with buns, patties, sprouts, and pickles.']",https://assets.epicurious.com/photos/5f32b61251ba4c1ecfa11306/6:4/w_274%2Ch_169/lentil-veggie-burgers-recipe-BA-081120.jpg
29,Nurse ,"['3 oz. Noilly Prat dry vermouth', '1 oz. club soda', 'Garnish: 1 cucumber wheel']",['Build in a chilled wine glass filled with ice. Garnish with the cucumber wheel.'],https://assets.epicurious.com/photos/5ea9db64d4b2a5e76bf5573b/6:4/w_274%2Ch_169/Meehan's%20Manual_Nurse_Page_1_Image_0001.jpg
30,Salad Ramen ,"['½ cup seasoned rice vinegar', '¼ cup extra-virgin olive oil', '¼ cup fresh lime juice', '¼ cup soy sauce', '2 Tbsp. toasted sesame seeds', '1 tsp. mild red pepper flakes (such as Aleppo-style or Maras)', '1 tsp. toasted sesame oil', '20 oz. fresh or 12 oz. dried ramen noodles', 'Kosher salt', '5-6 cups shredded or shaved vegetables (such as radishes, carrots, scallions, cabbage, lettuce, zucchini, and/or cucumbers)']","['Whisk vinegar, olive oil, lime juice, soy sauce, sesame seeds, mild red pepper flakes, and sesame oil in a small bowl to combine. Set dressing aside.', 'Cook noodles in a large pot of boiling salted water according to package directions. Drain and rinse under cold water to stop the cooking. Transfer to a large bowl, add half of reserved dressing, and toss to coat.', 'Divide noodles among bowls. Top with vegetables and drizzle with remaining dressing.']",https://assets.epicurious.com/photos/5f32b61151ba4c1ecfa11304/6:4/w_274%2Ch_169/salad-ramen-recipe-BA-081120.jpg
31,Miso-Glazed Salmon With Sushi Rice ,"['2 cups short-grain white sushi rice, rinsed until water runs clear', '2 tsp. Diamond Crystal or 1¼ tsp. Morton kosher salt, plus more', '3 tsp. sugar', '½ cup unseasoned rice vinegar, divided', '¼ cup pure maple syrup', '¼ cup red or white miso', '¼ cup tamari or regular soy sauce', '½ tsp. crushed red pepper flakes, plus more for serving', '2 Tbsp. extra-virgin olive oil', '4 (5–6-oz.) skin-on salmon fillets', '6 scallions, thinly sliced', '1 Tbsp. toasted sesame seeds', 'Lime wedges (for serving; optional)']","['Bring rice, a pinch of salt and 2½ cups cold water to a boil in a medium saucepan over medium-high heat. Stir once, cover, and reduce heat to low. Cook until water evaporates and rice is tender, 18–20 minutes. Remove from heat and let sit, covered, 10 minutes.', 'Whisk sugar, ¼ cup vinegar, and 2 tsp. Diamond Crystal or 1¼ tsp. Morton kosher salt in a small bowl until sugar dissolves. Stir into rice; re-cover. Let sit until ready to use.', 'Whisk maple syrup, miso, tamari, \xa0½ tsp. red pepper flakes, and remaining ¼ cup vinegar in a small bowl. Set glaze aside.', 'Heat oil in a large nonstick skillet over medium. Season salmon with salt; cook, skin side down, shaking pan occasionally, until skin is very crisp and deep golden brown, 7–9 minutes. Turn over and cook just until flesh is very lightly browned ( it should be nearly cooked through), about 2 minutes. Using a spatula to hold back fish, pour off fat from skillet.', 'Reduce heat to low and add reserved glaze to skillet; cook, stirring occasionally, until it begins to thicken, about 1 minute. Baste salmon with glaze and cook, basting occasionally, until glaze evenly coats fish, about 1 minute.', 'Divide rice among plates and top with salmon. Drizzle with any leftover glaze over; sprinkle with scallions, sesame seeds, and red pepper flakes. Serve with lime wedges if desired.']",https://assets.epicurious.com/photos/5f32b611f1722a2c13407e4e/6:4/w_274%2Ch_169/miso-glazed-salmon-recipe-BA-081120.jpg
32,Grilled Carrots With Avocado and Mint ,"['1 tsp. cumin seeds', '3 Tbsp. fresh lemon juice', '2 tsp. honey', '¼ cup plus 2 Tbsp. extra-virgin olive oil', '1 serrano chile, seeds removed if desired, thinly sliced', '1 (1"") piece ginger, peeled, finely grated', 'Kosher salt', '1½ lb. medium carrots with tops (about 5), tops trimmed to about ½"", scrubbed, halved lengthwise', '2 avocados, cut into large pieces', '½ cup mint leaves']","['Prepare a grill for medium heat. Toast cumin seeds in a dry small skillet over medium heat, tossing often, until fragrant, about 2 minutes. Let cool.', 'Coarsely crush cumin seeds with a mortar and pestle (or on a cutting board with the flat side of a chef’s knife). Transfer to a large bowl. Add lemon juice and honey. Whisk in ¼ cup oil, then add chile and ginger. Season dressing with salt. Let sit while you grill carrots (this will give the chile and ginger time to infuse into dressing).', 'Toss carrots and remaining 2 Tbsp. oil on a rimmed baking sheet to coat; season with salt. Grill carrots, turning occasionally, until lightly charred in spots and tender, 14–18 minutes. Immediately transfer carrots to bowl with dressing and toss to coat. Taste and season with more salt if needed.', 'Arrange carrots and avocados on a platter and spoon any dressing left in bowl over. Top with mint.']",https://assets.epicurious.com/photos/5f32b61301ff746e000e406e/6:4/w_274%2Ch_169/grilled-carrots-with-avocado-mint-recipe-BA-081120.jpg
33,Double Ripple Ice Cream Cake ,"['8 oz. red or black plums (2–3), pitted, chopped', '3 Tbsp. light brown sugar', '¼ tsp. kosher salt', '¾ cup (96 g) walnuts', '¼ cup (35 g) black and/or white sesame seeds', '1 cup pure maple syrup, preferably grade B', '¼ tsp. kosher salt', '½ cup (1 stick) unsalted butter, plus more for pan', '¾ cup (packed; 150 g) light brown sugar', '2 Tbsp. tahini', '2 tsp. vanilla bean paste or vanilla extract', '¾ tsp. kosher salt', '1 chilled large egg', '1 cup (125 g) all-purpose flour', '¾ tsp. baking powder', '5 pints high-quality vanilla ice cream, divided', 'A 9"" springform pan']","['Bring plums, brown sugar, and salt to a boil in a medium heavy saucepan over medium heat, stirring constantly. Reduce heat and simmer, stirring occasionally, until fruit is softened and juices deepen in color, about 8 minutes. Strain through a fine-mesh sieve set over a medium bowl, pushing plum flesh through; discard skins. Return sauce to pan and bring to a simmer, stirring occasionally. Cook, still stirring, until reduced to about ⅔ cup, about 3 minutes. Pour ripple into a jar and let cool, then cover and chill 1 hour before using.', 'Place a rack in middle of oven; preheat to 350°F. Place walnuts on 1 side of a rimmed baking sheet; season with salt. Toast, tossing halfway through, 8 minutes (nuts should not be quiet golden brown yet). Remove from oven and add sesame seeds on empty side of baking sheet. Toast until nuts and seeds are golden brown, about 2 minutes. Let cool; chop nuts. Combine nuts, sesame seeds, maple syrup, and salt in a small jar or bowl and stir well. Cover and set aside.', 'Lightly butter pan and line with a parchment paper round. Heat brown sugar, tahini, and remaining ½ cup (1 stick) unsalted butter until bubbling in a medium heavy saucepan over medium heat, stirring until butter is melted and sugar is dissolved. Cook, without stirring, 1 minute. Let cool slightly.', 'Stir vanilla bean paste and salt followed by egg into brown sugar mixture. Sift flour and baking powder through a fine-mesh sieve into mixture and fold to barely combine. Scrape batter into the prepared pan. Bake until golden around the edges, evenly tan across the top, and puffed in the center, about 20 minutes.', 'Transfer pan to a wire rack and let blondie base cool. Run a knife around the sides to help base release but keep springform pan intact, then cover and chill in freezer at least 15 minutes or until ready to use.', 'Cut 3 pints of ice cream out of their containers and place in the bowl of a stand mixer fitted with the paddle attachment. (Alternatively, you can beat in a large bowl with a wooden spoon or stiff rubber spatula until the consistency of cake batter.) Mix on low speed 2 minutes, then working up to medium speed, beat until barely pliable. It will soften further as it sits, but you want it to be sticky and slightly challenging to spread when you assemble cake. Chill in the freezer at any point if it becomes too soft and melted.', 'Remove blondie base and remaining 2 still-frozen pints of ice cream from freezer. Using an offset spatula, spread a third of softened ice cream over base. Using a spring-loaded ice cream scoop, scoop out and place mounds of 1-pint still-frozen ice cream on top in a random manner. Dollop one third of maple ripple over ice cream, avoiding edges of pan. Next, drizzle one third of plum ripple over ice cream, creating stripes. Repeat layering process, using half of remaining softened ice cream, all of remaining frozen ice cream, half of remaining maple ripple, and half of remaining plum ripple. Top with a final layer of remaining softened ice cream, smooth surface, then drizzle with remaining maple ripple and plum ripple. (If at any point the ice cream gets so soft that you can’t achieve distinct layers, chill in freezer for a few minutes.) Freeze, uncovered, 2 hours, then cover and freeze at least 8 hours before serving.', 'To serve, run a knife or offset spatula around edge of pan to release. Unmold and remove parchment paper; discard. Transfer cake to a platter, smooth sides with an offset spatula, and freeze 10 minutes. Slice with a warm knife, wiping off between cuts.']",https://assets.epicurious.com/photos/5f2323fb69a19aadba0fcb51/6:4/w_274%2Ch_169/IceCreamCake_RECIPE_072220_9755_VOG_final.jpg
34,Tiger Fruit Salad ,"['1 lb. underripe stone fruit (such as plums, nectarines, or peaches), pears, or mangoes, thinly sliced', '1 serrano chile, seeds removed if desired, thinly sliced', '2 Tbsp. unseasoned rice vinegar', '1 Tbsp. sugar', '½ tsp. kosher salt, plus more', '1 bunch cilantro', '4 scallions, thinly sliced on a diagonal', '2 celery stalks, thinly sliced on a diagonal', '2 tsp. toasted sesame oil', '1 tsp. low-sodium soy sauce', 'Zest of 1 lime', '2 Tbsp. toasted sesame seeds', 'Lime wedges (for serving)']","['Gently toss fruit, chile, vinegar, sugar, and ½ tsp. salt in a medium bowl to combine. Let sit until fruit is spicy and flavorful, about 10 minutes.', 'Meanwhile, gather cilantro into a bundle and cut into 2""-long pieces. Transfer to a medium bowl, add scallions and celery, and toss to combine.', 'Drain fruit in a fine-mesh sieve set over a small bowl; set fruit aside. Add oil, soy sauce, and lime zest to marinating liquid in bowl and whisk to combine. Pour dressing over cilantro mixture and toss to coat. Add reserved fruit and sesame seeds and toss gently to combine. Taste and season with more salt if needed.', 'Transfer salad to a platter and serve with lime wedges.']",https://assets.epicurious.com/photos/5f32b632a973dedcba87db7d/6:4/w_274%2Ch_169/stonefruit-tiger-fruit-salad-recipe-BA-081120.jpg
35,Grilled Pork Shoulder With Butter Vinegar Sauce ,"['1 Tbsp. fennel seeds', '2 Tbsp. dried oregano', '2–2½-lb. boneless pork shoulder (Boston butt)', 'Grapeseed or other neutral oil (for pork)', '1 Tbsp. kosher salt, plus more', '3 chiles de árbol, torn in half, seeds removed if desired', '½ cup apple cider vinegar', '½ cup (1 stick) unsalted butter', '2 Tbsp. sugar', 'Special Equipment: A spice mill or mortar and pestle']","['Toast fennel seeds in a dry small skillet over medium heat, tossing often, until golden brown and starting to pop, about 3 minutes. Transfer  to a spice mill or mortar and pestle and let cool; coarsely grind. Transfer to a small bowl and mix in oregano. Place pork on a wire rack set inside a rimmed baking sheet and rub with oil. Season all over with 1 Tbsp. salt, then rub with spice mixture, packing it on. Let sit at room temperature 2 hours or chill, uncovered, up to 2 days.', 'Bring chiles, vinegar, butter, and sugar to  a simmer in a small saucepan over medium-high heat; cook, stirring occasionally, until sugar is dissolved and sauce is reduced by about a third, about 5 minutes. Season with salt; cover and keep warm over low heat until ready to use.', 'Prepare a grill for medium heat. Drizzle pork all over with oil, then grill, turning every 5 minutes or so, until extremely, gorgeously browned and crisp and an instant-read thermometer inserted into thickest part registers 120°F, 35–45 minutes. Continue to grill, brushing with sauce and turning not quite every minute (you’re going to see flare-ups, but don’t worry), until pork is glazed and shiny and temperature on thermometer has risen to 130°F, 5–10 minutes more. Transfer pork to a platter and let rest 30 minutes; reserve remaining sauce.', 'Transfer pork to a cutting board and pour any accumulated juices on platter into reserved sauce. Return sauce to a simmer. Slice pork against the grain ¼"" thick. Arrange on platter, spoon some sauce over, and season with salt. Serve remaining sauce alongside.', 'If using a charcoal grill, a bed of medium-hot coals will gradually lose heat. Get a chimney started when the meat first hits the grill. About halfway through, throw some new glowing coals on the pile to keep things going.']",https://assets.epicurious.com/photos/5f24b73eb13334ed2a1d3eaa/6:4/w_274%2Ch_169/grilled-pork-shoulder-with-butter-vinegar-sauce-recipe-BA-073120.jpg
