,title,ingredients,instructions,picture_link
10,Thai Muslim–Style Grilled Chicken ,"['1 3½–4-lb. whole chicken', '3 tsp. white or black peppercorns', '6 garlic cloves', '2 cilantro roots, chopped, or 2 Tbsp. (heaping) finely chopped cilantro stems', '3 Tbsp. (packed) light brown sugar', '2 Tbsp. fish sauce', '4 tsp. ground turmeric', '1 Tbsp. kosher salt', '2 tsp. ground coriander', '2 tsp. ground cumin', '1 tsp. ground cardamom', '½ cup (packed) chopped fresh ripe pineapple', '¼ cup distilled white vinegar or apple cider vinegar', '6 large garlic cloves, finely chopped', '3 red jalapeños or serrano chiles, seeds removed, finely chopped', '¼ cup granulated sugar', '1 tsp. kosher salt', '½ tsp. freshly ground white pepper', '1 tsp. (lightly packed) saffron threads or 1 tsp. ground turmeric', '2 tsp. granulated sugar', '1 tsp. kosher salt', '⅓ cup virgin coconut oil', 'Vegetable oil (for grill; optional)', '1 Tbsp. coarsely chopped cilantro', 'Cooked jasmine rice, coconut rice, or sticky rice (for serving)', 'A spice mill or a mortar and pestle']","['Spatchcock chicken the Thai way by placing it breast side up on a large cutting board. Using a sharp, heavy knife and working just to the side of the center of the breast, cut down through to the breastbone (do not cut all the way through to the backbone). Now that the path has been created, use the same knife—or, easier, a sturdy pair of kitchen scissors—to make a clean cut all the way through the breastbone and anything else that is still connecting the 2 sides of the breast together. Open up chicken and turn skin side up. Press down on chicken to flatten. Pat thoroughly dry.', 'Grind peppercorns in a spice mill or a mortar and pestle. Transfer to a food processor or leave in mortar and pestle and add garlic, cilantro roots, brown sugar, fish sauce, turmeric, salt, coriander, cumin, and cardamom and process or pound until smooth. Coat chicken completely in marinade, pressing to adhere and working into nooks and crannies. Place in a large bowl and cover with a plate. Let chill at least 12 hours and up to 24 hours.', 'Let chicken sit at room temperature 1 hour before grilling or baking.', 'Purée pineapple and vinegar in a food processor or blender until smooth. Transfer to a small saucepan and add garlic, jalapeños, granulated sugar, salt, and pepper. Bring to a boil over medium heat, then reduce heat so sauce is at a simmer and cook until thick and smooth (consistency should be similar to cocktail sauce), about 5 minutes.', 'Grind saffron to a fine powder in a spice mill or a mortar and pestle. Transfer to a small saucepan and add granulated sugar, salt, and ¼ cup water and cook over medium heat just until heated through and small bubbles appear around the edges of the pan. Whisk in coconut oil and remove from heat.', 'If using a grill, prepare a grill for medium-high indirect heat (for a charcoal grill, bank coals on one side of grill; for a gas grill, leave one or two burners off); oil grate. Arrange chicken, skin side up, on cooler part of grill. Close lid and grill, rotating chicken but keeping skin side up every 5–10 minutes, until skin looks dry and golden brown and an instant-read thermometer inserted into thickest part of breast and thighs registers 130°–140°, 35–40 minutes. If using charcoal and your coals are dying, start a new chimney of coals 15 minutes before this point so you are ready for the next step.', 'Uncover grill and increase heat to high (add more coals for a charcoal grill). Brush one fourth of basting liquid over skin and turn chicken over, positioning over direct heat on the hot side of the grill. Grill, brushing half of remaining basting liquid over bone side of chicken, until skin is browned and lightly charred in spots, about 3 minutes. (Watch carefully as this can happen quickly.) Turn chicken over and return to cooler side of grill. Brush skin with remaining basting liquid. Cover grill and continue to grill chicken until thermometer inserted into thickest part of breast registers 160° and thickest part of thighs registers 165°, 10–15 minutes longer.', 'If using an oven, place a rack in bottom third of oven and preheat to 350°. Place chicken, skin side up, on a wire rack set inside a rimmed baking sheet. Brush one third of basting liquid over skin. Bake, rotating baking sheet every 10 minutes, until an instant-read thermometer inserted into thickest part of breast and thighs registers 130°–140°, 35–40 minutes.', 'Increase oven temperature to 450°. Brush remaining basting liquid over skin and continue to bake, rotating baking sheet halfway through, until skin is crisp and charred and thermometer inserted into thickest part of breast registers 160° and thickest part of thighs registers 165°, 10–15 minutes longer.', 'Transfer chicken to a cutting board and let rest at least 15 minutes. Carve up further as desired.', 'Top dipping sauce with cilantro. Serve chicken with rice and dipping sauce alongside.', 'If you cook the chicken in the oven, using the dhungar method to perfume the finished chicken with the scent of smoky ghee is highly recommended.']",https://assets.epicurious.com/photos/5f4d3d74664e64fef9f6ccef/6:4/w_274%2Ch_169/JirapanChicken_HERO_082720_11133_VOG_final.jpg
11,Coconut Rice ,"['1½ cups raw Thai jasmine rice', '½ cup coconut milk, preferably freshly extracted', '1 cup water', '1 tablespoon plus 2 teaspoons granulated sugar', '½ teaspoon salt', '½ cup coconut cream, preferably freshly extracted']","['To make the rice, which is best done in a rice cooker, put the rice in a fine-mesh sieve or colander and rinse under cold running water until the water runs clear. Transfer the rice to a rice cooker, add the coconut milk, water, sugar, and salt, and stir to combine. Cover the rice cooker and turn it on.', 'As soon as the rice cooker turns itself off, uncover, pour the coconut cream evenly over the top of the rice (do not stir it in), and replace the lid. Keep the rice warm until serving.']",https://assets.epicurious.com/photos/5f4e7fd953175d514b786889/6:4/w_274%2Ch_169/Bangkok_Coconut%20Rice.jpg
12,Melted Broccoli Pasta With Capers and Anchovies ,"['Kosher salt', '2 heads (about 1 pound, or 454g, total) broccoli, cut into bitesize florets', '12 ounces (340 g) whole-wheat penne pasta, or other short tubular pasta', '3 tablespoons (45 ml) extra-virgin olive oil, divided', '1 cup (54 g) panko or Freezer Bread Crumbs (see Note)', '4 oil-packed anchovy fillets', '¼ cup (36 g) capers, chopped if large (rinsed well if salt-packed)', '2 garlic cloves, minced', '¼ teaspoon red pepper flakes']","['Bring a large pot of salted water to a boil over high heat. Add the broccoli florets and cook until bright green and crisp-tender, 2 to 3 minutes. Using a slotted spoon, transfer the broccoli to a large bowl.', 'Add the pasta to the boiling water and cook for 1 minute less than the package instructions for al dente, about 9 minutes.', 'Meanwhile, toast the bread crumbs. Heat 1 tablespoon (15 ml) of olive oil in a large, high-sided sauté pan or skillet over medium heat. Add the breadcrumbs and sauté until the crumbs are golden brown and crisp, 4 to 5 minutes. Transfer to a small bowl and set aside.', 'Pour the remaining 2 tablespoons (30 ml) of olive oil into the pan. Add the anchovies and sauté until they disintegrate, about 1 minute. Add the capers, garlic, and red pepper flakes. Sauté until fragrant, about 1 minute, and remove from the heat.', ""When the pasta is ready, reserve 1½ cups (360 ml) of pasta water with a measuring cup, then drain the pasta. Add the broccoli and reserved pasta water to the pan and bring to a simmer. Continue to simmer, using a wooden spoon to break the florets into small pieces as they become more tender, until the water is reduced by about half and you've been able to break apart enough florets that you're left with a very chunky mixture, 5 to 7 minutes."", 'Add the pasta to the pan. Cook, tossing and stirring, until the pasta is al dente and the sauce thickens and coats the pasta, 1 to 2 minutes. Remove from the heat, add half the toasted bread crumbs, and toss again to combine. Serve garnished with the remaining toasted bread crumbs.']",https://assets.epicurious.com/photos/5f4d55bcb9bb54b31aa2d196/6:4/w_274%2Ch_169/MediterraneanEveryDay%20p138.jpg
13,Dashi ,"['1 gallon cold water', '1 (6-inch) square dashima (kombu)', '3 medium dried shiitake mushrooms', '12 large dried anchovies (gutted and heads removed)']","['Put the water, dashima, shiitake mushrooms, and anchovies in a covered stockpot or other large pot and let stand at room temperature overnight, or for 8 to 12 hours.', 'Remove the lid, set the pot over high heat, and heat until the surface of the water begins to ripple; pay attention, and do not let it come to a boil. Lower the heat to maintain a very gentle simmer (the ideal temperature is a few degrees below a light boil) and simmer for 80 to 90 minutes. Taste the dashi every 20 minutes to monitor the changes in flavor and texture. You will notice the texture becoming softer. I describe it as having a slippery, slightly viscous texture compared to tap water. The sea flavor will become stronger, and the dashi will become darker, like pale Earl Grey tea. The sweetness will take a while to appear, but when it does, the dashi is almost ready. When you can taste the sweetness and deep sea flavors, and the dashi has a very soft texture, it is done. Be vigilant, because dashi will become bitter if cooked too long.', 'Strain the dashi into a covered container and store in the refrigerator for up to 2 days. After 24 hours, the dashi will begin to lose some of its flavor and it will turn slightly flat.', 'It’s best to use dashi the same day you make it, though if you keep it refrigerated, you can use it for another day or two. By the third day, it will no longer taste fresh.', 'Vegetarians can make a dashi from just dashima and dried shiitakes.']",https://assets.epicurious.com/photos/5f4d49948e656ec64926fab8/6:4/w_274%2Ch_169/dashi-recipe-hooni-kim-my-korea-083120.jpg
14,Ginger and Tamarind Refresher ,"['2½ cups (600 ml) water', '2½ oz (70 g) sour tamarind pulp or paste', '8 oz (225 g) fresh ginger, preferably young', '1 cup (200 g) sugar', 'One 1 L bottle chilled club soda or 4 cups (960 ml) chilled water']","['Bring 1½ cups (360 ml) of the water to a boil. Put the tamarind pulp in a heat-proof nonreactive bowl, and cover with the boiling water. Cover and let sit for about 1 hour, until the pulp has become soft and mushy. Using a small potato masher or clean hands, massage and squeeze the block to soften the pulp. Strain through a fine-mesh strainer suspended over a medium bowl, pressing the pulp through the strainer with a large spoon. Discard the seeds and other solids left behind. Refrigerate the tamarind extract in an airtight container in the refrigerator until ready to use, for up to 4 days.', 'Rinse the ginger and gently scrub to remove any traces of dirt. If the ginger is young, with a thin skin, leave the skin on. Otherwise, peel. Cut into thin slices. In a medium saucepan, combine the ginger, sugar, and remaining 1 cup (240 ml) water. Bring to a boil over medium-high heat and immediately remove the saucepan from the heat. Cover and steep for 10 minutes. Strain the ginger simple syrup through a fine-mesh strainer and discard the ginger.', 'In a large pitcher, mix the tamarind extract and the ginger simple syrup together. Fill eight tall glasses with ice. Pour 4 oz (120 ml) of the tamarind-ginger syrup into each glass, top with 4 oz (120 ml) of the club soda or chilled water, and stir. Store any remaining tamarind-ginger syrup in an airtight container in the refrigerator for up to 1 week.', 'This rejuvenating drink combines the mild heat of young ginger and the sourness of tamarind. It’s wonderful during the warmer months. Young ginger requires no peeling before use because its outer skin is so thin. I recommend using South Asian tamarind, which is a lot more sour than the Mexican variety. Look for it in Asian and Indian markets.']",https://assets.epicurious.com/photos/5f3170c67b7a251be6a48635/6:4/w_274%2Ch_169/GingerTamarindRefresher_RECIPE_080520_10454_VOG_final.jpg
15,Sumac and Saffron Refresher ,"['15 to 20 saffron strands, plus a few extra strands for garnish', '½ cup (100 g) sugar', '3 green cardamom pods, smashed', '¼ cup (30 g) ground sumac', '3 cups (700 ml) chilled club soda or water']","['Grind the saffron with 2 Tbsp. of sugar to a fine powder using a mortar and pestle.', 'In a medium saucepan over medium-high heat, combine 1 cup (240 ml) water, sugar, cardamom, and powdered saffron mixture and bring to simmer, stirring until the sugar dissolves. Remove from the heat and stir in the sumac. Cover the saucepan with a lid and let it steep for 30 minutes, no more. Strain the liquid through a fine mesh strainer over a medium bowl and chill before ready to serve.', 'To serve, fill four tall glasses with ice. In a large pitcher, stir the syrup with the chilled club soda or water. Pour 1 cup (120 ml) of the drink into each glass. Garnish each glass with 1 or 2 saffron strands. Store any leftovers in an airtight container in the refrigerator for up to 1 week.', 'Sumac is rich in citric, malic, and tartaric acids but also bitter tannins. Steeping it in water dissolves the water-soluble acids. Gallotannin, one of the main tannins present in sumac, is bitter to taste and dissolves in water easily. Avoid steeping the sumac for too long or its tannins will make the syrup bitter.\nSaffron is ground to a fine powder using a little sugar as an abrasive. Grinding saffron increases the amount of color and flavor extracted than would be achieved if the strands were used directly.\nClub soda if used, adds a second note of acidity from the carbonic acid as well as the crackling sound of bubbles that create a sensation via chemesthesis.']",https://assets.epicurious.com/photos/5f3170c8a075954f3cca3419/6:4/w_274%2Ch_169/SumacSaffronRefresher_RECIPE_080520_10438_V1_final.jpg
16,Peanut Butter Brookies ,"['160g (5¾ oz / ½ cup + 2 tablespoons) smooth peanut butter', '220g (8 oz / 1 cup) light brown sugar', '1 large egg, plus 2 large egg yolks', '100g (3½ oz / ¾ cup) all-purpose flour', '1 teaspoon bicarbonate of soda (baking soda)', '½ teaspoon fine sea salt', '100g (3 oz) salted peanuts, roughly chopped', '150g (5½ oz / 1⅓ sticks) unsalted butter, diced, plus extra for greasing', '85g (3 oz / 1 cup) cocoa powder', '100g (3½ oz / ½ cup) caster (superfine) sugar', '100g (3½ oz / ⅓ cup + 2 tablespoons) light brown sugar', '¼ teaspoon fine sea salt', '1 teaspoon vanilla extract', '2 large eggs', '70g (2½ oz / ½ cup + 1 tablespoon) all-purpose flour']","['Preheat the oven to 180°C (350°F), Gas Mark 4. Lightly grease a 13x9"" baking tin and line with a piece of parchment paper that overhangs the two long sides. Secure in place with metal clips.', 'For the peanut butter cookie layer, mix the peanut butter and brown sugar together in a large bowl for a couple of minutes until combined and slightly lightened. Add the egg and egg yolks and beat together for a further 2–3 minutes. Add all the remaining ingredients (reserving 3 tablespoons of the peanuts for sprinkling over later) and gently mix together to form a uniform cookie dough. Spread the cookie dough in an even layer in the prepared tin, then set aside.', 'For the brownie layer, add the butter and cocoa to a small saucepan over a medium heat, stirring constantly, until melted and smooth. Remove from the heat and set aside. Place the sugars, salt, vanilla and eggs in a large bowl and whisk together with an electric mixer for 2–3 minutes or until slightly thickened and pale. Pour in the melted butter mixture, mixing briefly until combined, then fold in the flour. Pour the batter over the cookie layer and spread into an even layer, then sprinkle over the reserved peanuts.', 'Bake for about 25–30 minutes, or until a skewer inserted into the middle comes out with a few moist crumbs.', 'Leave the brookies to cool completely in the tin, before using the parchment paper to lift them from the tin and cutting into squares.Store in a sealed container for 3–4 days.']",https://assets.epicurious.com/photos/5f465ad27225e0733fce864c/6:4/w_274%2Ch_169/Peanut-Butter-Brookies.jpg
17,"Tacos de Gobernador (Shrimp, Poblano, and Cheese Tacos) ","['4 teaspoons neutral cooking oil, such as canola oil', '1 onion, peeled and diced', '1 garlic clove, peeled and minced', '2 poblano chiles, stems removed, cut into 1⁄4-inch-wide strips', '8 corn tortillas', 'Juice of 3 limes', '1 slice bacon, diced small', '8 ounces peeled and deveined medium shrimp (preferably sizes 36/40 or 41/50; if you have bigger shrimp, slice them in half lengthwise)', '1 teaspoon kosher salt', '1 cup Queso Asadero cheese (if not available, substitute Teleme or Monterey Jack)', '2 limes, cut into wedges', 'Homemade or store-bought tangy red salsa']","['Warm 3 teaspoons of the oil in a frying pan over medium-low heat. Add the onion and cook for 5 minutes, stirring gently. Add the garlic and continue to cook for 3 minutes. (If, at any time during the cooking process, the items in the pan dry out at all, deglaze the pan with some lime juice, scraping up the browned bits with a wooden spoon, and continue.) Turn the heat to medium and add the chiles. Cook for 10 minutes, or until the chiles are thoroughly cooked.', 'At this point, warm a separate frying pan over medium heat and add the remaining 1 teaspoon oil. Interleaved with finishing the rest of the recipe, heat each tortilla in the oil-coated pan for about 20 seconds per side, just long enough to make them the slightest bit golden but still pliable, and put between two towels to stay warm and wick away any excess oil.', 'Once the chiles have cooked for 10 minutes, pour the lime juice on the ingredients in the pan. Add the diced bacon to the pan and turn the heat to medium-high. When the pan has heated up and the bacon has started to turn color, add the shrimp and use the salt to season everything in the pan. Cook for 2 to 3 minutes, stirring and flipping the shrimp as necessary to cook them evenly. The shrimp should be bright pink and white and opaque. If they are still translucent, cook them a little longer.', 'Sprinkle the cheese over everything in the pan and turn the heat to low. Continue stirring until the cheese is melted. Remove the pan from the heat. Distribute the cheesy shrimp mixture equally among the tortillas, making a plate full of tacos. Serve along with the lime wedges and red salsa, if desired.']",https://assets.epicurious.com/photos/5f3c25a27b7a251be6a4864b/6:4/w_274%2Ch_169/BajaShrimpTacos_HERO_081220_10743_VOG_final.jpg
18,Kimchi Toast ,"['4 oz. cream cheese, room temperature', '¾ cup finely chopped kimchi; plus more for serving (optional)', '2 scallions, thinly sliced on a diagonal', '1 cup cilantro leaves with tender stems', '½ lime', 'Kosher salt', '4 (¾""-thick) slices country-style bread, grilled or toasted', 'Chili oil and toasted white sesame seeds (for serving)']","['Mix cream cheese and ¾ cup kimchi in a medium bowl.', 'Toss scallions and cilantro in a small bowl to combine. Squeeze in juice from lime, season with salt, and toss again.', 'Smear kimchi cream cheese over each slice of bread. Top with scallion salad and more kimchi (if using). Drizzle with chili oil; sprinkle with sesame seeds.']",https://assets.epicurious.com/photos/5f3fefaeb5a7f23071917c5f/6:4/w_274%2Ch_169/kimchi-toast-recipe-BA-082120.jpg
19,Buttered Tomatoes with Ginger ,"['4 scallions', '4 Tbsp. unsalted butter', '1 (1"") piece ginger, peeled, cut into matchsticks', '1½ pounds tomatoes (about 3 medium), cut into (1"") pieces', '2 Tbsp. plus 1½ tsp. white or regular soy sauce', 'Kosher salt (optional)', 'Toasted country-style bread or cooked rice or pasta (for serving)']","['Trim dark green tops from scallions and thinly slice; set aside for serving. Finely chop remaining white and pale green parts. Heat butter in a large skillet over medium. Add white and pale green parts of scallions and ginger and cook, stirring often, until fragrant, about 1 minute.', 'Add tomatoes and cook, turning gently with a spoon, until juicy and just warmed through, about 2 minutes. Add soy sauce and toss to combine. Taste and season with kosher salt if needed. Top with reserved scallion greens.', 'Spoon tomatoes over toast and sprinkle with more salt if desired.']",https://assets.epicurious.com/photos/5f456bf9834292ff425080a4/6:4/w_274%2Ch_169/buttered-tomatoes-with-ginger-recipe-BA-082520.jpg
20,Burst Cherry Tomato Pasta ,"['½ cup extra-virgin olive oil, plus more for drizzling', '6 garlic cloves, smashed', '2½ lb. cherry tomatoes (about 4 pints)', '2 large sprigs basil, plus 1 cup basil leaves, torn if large', '¾ tsp. crushed red pepper flakes', '1½ tsp. kosher salt, plus more', 'Pinch of sugar (optional)', '12 oz. casarecce or other medium-size pasta', '1 oz. Parmesan,  finely grated (about ½ cup), plus more for serving']","['Heat ½ cup oil in a large heavy pot over low. Add garlic and cook, stirring often with a wooden spoon, until softened but not browned, about 2 minutes.', 'Increase heat to medium and add tomatoes, basil sprigs, red pepper flakes, and 1½ tsp. salt. Cook, stirring to coat, until some of the tomatoes begin to burst and release their juices, about 4 minutes. Smash some but not all of the tomatoes with the spoon to help release their liquid, then continue to cook, stirring occasionally, until a chunky, thickened sauce forms (about half the tomatoes should still be intact), 10–12 minutes. Taste and add sugar if sauce is too tart and add more salt if needed. Pluck out and discard basil sprigs.', 'Meanwhile, cook pasta in a large pot of boiling salted water, stirring occasionally, until al dente.', 'Drain pasta, add to pot with sauce, and cook, stirring, until coated, about 1 minute. Remove from heat and stir in 1 oz. Parmesan.', 'Divide pasta among bowls; drizzle with oil. Top with more Parmesan and 1 cup basil leaves.']",https://assets.epicurious.com/photos/5f456a85834292ff425080a2/6:4/w_274%2Ch_169/pasta-with-burst-cherry-tomatoes-recipe-BA-082520.jpg
21,Salted PB&J Ice Cream Pie ,"['1 sleeve (110 g) Ritz crackers or other cracker of your choice', '⅓ cup (45 g) raw peanuts or other nut or seed, finely chopped', '⅓ cup (67 g; packed) light or dark brown sugar', '½ tsp. Diamond Crystal or ¼ tsp. Morton kosher salt', '6 Tbsp. unsalted butter, melted', '3 large eggs', '½ cup (100 g; packed) light or dark brown sugar', '½ tsp. Diamond Crystal or ¼ tsp. Morton kosher salt', '1 tsp. vanilla extract', '½ cup (128 g) natural peanut butter or other natural nut or seed butter', '1½ cups heavy cream', '⅓ cup (100 g) grape jelly (preferably Bonne Maman) or other jelly, jam, or compote']","['Preheat oven to 275°F. Place crackers in a deep pie dish (a shallower one will work but you may have some filling left over) and gently crush with your hands until you have a mix of dime-size pieces, small crumbs, and everything in between. Add peanuts, brown sugar, and salt and toss to combine. Drizzle in butter and toss to evenly coat. Using your hands and the bottom of a measuring cup, press firmly and evenly into bottom and up sides of dish. (Mixture will look and feel crumbly, but it will hold together when baked.) Bake crust until a shade darker, 20–25 minutes. Let cool.', 'Do Ahead: Crust can be baked 3 days ahead. Store tightly wrapped at room temperature, or freeze up to 1 month.', 'Pour water into a medium saucepan to come 1½"" up the sides and bring to a bare simmer over medium-low heat. Whisk eggs, brown sugar, and salt in a large heatproof bowl just to combine (or use the bowl of a stand mixer if you’ve got one). Set over saucepan (bowl should not touch water) and heat egg mixture, stirring constantly with a heatproof rubber spatula, until sugar dissolves, about 4 minutes (mixture will no longer feel gritty when rubbed between your fingers). If you are concerned about undercooked eggs, heat mixture longer, still stirring constantly, until an instant-read thermometer registers 165°F, about 3 minutes more. Remove bowl from heat and add vanilla to egg mixture. Using an electric mixer, beat on high speed until thick and pale and doubled in volume, about 10 minutes. (Or, if using a stand mixer, beat with the whisk attachment, 6–8 minutes.)', 'Using spatula, mix peanut butter in another large bowl to loosen up and smooth out. Stir one third of egg mixture into peanut butter to lighten, then gently fold in half of remaining egg mixture, running spatula down sides and along bottom of bowl, then lifting up through center and over top while rotating bowl, until just combined. Repeat with remaining egg mixture (it will lose a lot of volume, and that’s okay).', 'Starting on low speed and gradually increasing to medium-high, beat cream in the same bowl you used for egg mixture (no need to wash) until soft peaks form, about 2 minutes. Gently fold into peanut butter mixture and scrape into crust. Dollop jelly all over; swirl with a butter knife. (For more defined swirls, freeze pie 30 minutes before adding jelly.) Freeze at least 8 hours before serving.', 'To slice, run a chef’s knife under hot water to warm up the blade, then wipe to clean and dry between slices. Use an offset spatula or fork to loosen slices from dish. If pie is frozen very hard, you may need to let it temper in the fridge 30 minutes before serving.', 'Do Ahead: Pie can be made 2 weeks ahead. Wrap tightly and freeze.']",https://assets.epicurious.com/photos/5f3fca40ff169fe5c93c6ae0/6:4/w_274%2Ch_169/salted-pb%26j-ice-cream-pie-recipe-BA-082120.jpg
